Type,Name,Address,District,,Type,District
Shopping Centre, White Sands,"1 Pasir Ris Central Street 3, S(518457)",North East,,,
Bus Interchange, Bukit Panjang Intergrated Transport Hub,"15 Petir Road, S(678270)",North West,,,
Bus Interchange, Gali Batu Bus Terminal,"Gali Batu Terminal, 3 Jalan Gali Batu, S(678673)",North West,,,
Bus Interchange, Kranji Bus Depot,"209 Kranji Road, S(739484)",North West,,,
Bus Interchange, Sembawang Bus Interchange,"11A, Sembawang Vista, S(757527)",North West,,,
Bus Interchange, Woodlands Depot,"60 Woodlands Industrial Park E4, S(757705)",North West,,,
Bus Interchange, Woodlands Integrated Transport Hub,"30 Woodlands Avenue, S(738343)",North West,,,
Bus Interchange, Woodlands Temporary Bus Interchange,"3A Woodlands Square, S(727735)",North West,,,
Bus Interchange, Yishun Integrated Hub Bus Interchange,"20A Yishun Central, S(768830)",North West,,,
Coffeeshop, Kopitiam @ 504 Yishun Street 51,"504 Yishun Street 51, #01-01, S(760504)",North West,,,
Coffeeshop, Kopitiam @ 628 Senja Road,"628 Senja Road, #01-07, S(670628)",North West,,,
Coffeeshop, NTUC Foodfare @ 361 Sembawang Crescent,"361 Sembawang Crescent, #01-01, S(750361)",North West,,,
Community Centre, Bukit Canberra Indoor Sports Hall,"21 Canberra Link, S(756973)",North West,,,
Food Court, NTUC Foodfare KTPH,"90 Yishun Central, S(768828)",North West,,,
Market & Food Centre, Bukit Canberra Hawker Centre,"21 Canberra Link, S(756973)",North West,,,
Market & Food Centre, Bukit Panjang Hawker Centre,"259 Bukit Panjang Ring Road, S(671259)",North West,,,
Market & Food Centre, Chong Pang Market & Food Centre,"105 Yishun Ring Road, S(760105)",North West,,,
Market & Food Centre, Holland Village Market & Food Centre,"1 Lorong Mambong, S(277700)",North West,,,
Market & Food Centre, Senja Hawker Centre,"2 Senja Close, S(677632)",North West,,,
Market & Food Centre, Yishun Park Hawker Centre,"51 Yishun Avenue 11, S(768867)",North West,,,
